title,Sigla,Plano Municipal,TAG,Prefeito,Status,Órgão Coordenador,Início,Fim,desc,Resumo_Excerto,Página,Ato Normativo,link,Título Spec
Plano Municipal de Conservação e Recuperação de Áreas Prestadoras de Serviços Ambientais,PMSA,True,Gestão Ambiental,Bruno Covas,Elaborado,SVMA,1/1/2020,12/31/2029,"O Plano Municipal de Serviços Ambientais (PMSA), estabelecido pelo Plano Diretor Estratégico de 2014, oferece diretrizes para conservação e recuperação de áreas que prestam serviços ambientais. Ele promove a proteção e uso sustentável da biodiversidade, vegetação nativa, recursos hídricos, qualidade do ar, entre outros serviços naturais, tanto em áreas urbanas quanto rurais. O objetivo principal é incentivar políticas e iniciativas para conservar e recuperar essas áreas em São Paulo, com objetivos específicos como regulamentar o registro dessas áreas, incorporar conceitos de serviços ecossistêmicos em políticas setoriais e melhorar ações de comando e controle ambiental.","o PMSA dará as diretrizes para a conservação e recuperação das áreas prestadoras de serviços ambientais, incentivando a prática de atividades de proteção e uso sustentável da biodiversidade, dos remanescentes florestais da Mata Atlântica, dos recursos hídricos superficiais e  ubterrâneos, da qualidade do ar, da ciclagem de nutrientes do solo e da regulação do clima, dentre outros serviços  ue a natureza oferece à cidade, tanto em suas áreas rurais como urbanas.",23,"RESOLUÇÃO Nº 202/CADES, DE 17 DE DEZEMBRO DE 2019",https://www.prefeitura.sp.gov.br/cidade/secretarias/meio_ambiente/projetos_e_programas/index.php?p=286787,plano_municipal_de_conservacao_e_recuperacao_de_areas_prestadoras_de_servicos_ambientais
Plano Municipal de Cultura,PMC-SP,True,Cultura,Fernando Haddad,Elaborado,SMC,11/29/2016,12/31/2025,"O Plano Municipal de Cultura de São Paulo (PMC-SP) é um documento de planejamento de longo prazo para as políticas culturais da cidade. Foi elaborado com base nas três Conferências Municipais de Cultura realizadas em 2004, 2009 e 2013, e em contribuições da consulta pública. O processo de criação envolveu ampla participação social, incluindo audiências públicas regionais e temáticas, além de consulta digital. O PMC-SP faz parte do Sistema Municipal de Cultura, juntamente com o Conselho Municipal de Política Cultural e o Fundo Municipal de Cultura, fortalecendo a participação de São Paulo no Sistema Nacional de Cultura e contribuindo para o Plano Nacional de Cultura e o pacto federativo entre os governos federal, estadual e municipal.","""o Plano Municipal de Cultura de São Paulo (PMC-SP) é um instrumento de planejamento decenal para as políticas culturais da cidade, construído a partir dos insumos das três Conferências Municipais de Cultura – realizadas em 2004, 2009 e 2013 – e com o acúmulo de inúmeras contribuições advindas de consulta pública.",16,DECRETO Nº 57.484 DE 29 DE NOVEMBRO DE 2016,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura/acesso_a_informacao/index.php?p=16800,plano_municipal_de_cultura
Plano Municipal de Desenvolvimento Econômico,PMDE,True,Trabalho,Ricardo Nunes,Elaborado,SMDET,1/26/2022,12/31/2032,"O Plano de Desenvolvimento Econômico é uma iniciativa pioneira de planejamento setorial em São Paulo, elaborada pela Secretaria de Desenvolvimento Econômico e Trabalho em colaboração com a sociedade civil e o setor privado. Composto por 5 eixos, 15 diretrizes e 139 ações de curto, médio e longo prazo, o plano busca impulsionar a recuperação econômica da cidade e promover um desenvolvimento sustentável e inclusivo. Identificou-se 10 setores estratégicos que concentram a maior parte dos empregos na capital, como comércio, economia verde, educação, infraestrutura, saúde, tecnologia e turismo. Propõe-se a colaboração entre todas as secretarias municipais, órgãos públicos, setor privado e sociedade para executar uma estratégia integrada, visando identificar vocações regionais, obras públicas necessárias, desburocratização, qualificação da mão de obra, geração de renda e promoção da cultura.","O PMDE tem como objetivo a produção de uma agenda que impulsione as forças e potencialidades da economia paulistana e, ao mesmo tempo, auxilie na superação de desafios e fragilidades. A proposta é unir os setores público e privado, numa estratégia de maximização do potencial econômico da cidade, com compartilhamento de benefícios sociais por todos.",16,S/ ato específico publicado ,https://www.prefeitura.sp.gov.br/cidade/secretarias/desenvolvimento/desenvolvimento_economico/index.php?p=324230,plano_municipal_de_desenvolvimento_economico
Plano Municipal de Educação,PME,True,Educação,Fernando Haddad,Elaborado,SME,9/17/2015,12/31/2025,"O Plano Municipal de Educação (PME) é um planejamento participativo com duração de 10 anos, construído por meio de amplo debate com a sociedade. O atual PME, em vigor até 2025, estabelece 13 metas e 14 diretrizes para orientar o planejamento educacional na cidade de São Paulo. Entre as metas estão a ampliação do investimento público em educação, a garantia de uma relação adequada entre alunos e professores, e o fomento à qualidade da Educação Básica. As diretrizes incluem a superação do analfabetismo, a universalização do acesso à escola e a promoção da cidadania e da igualdade educacional. Uma das metas do PME era a elaboração dos Planos Regionais de Educação, processo concluído em 2018, cujos documentos podem ser acessados no site da Secretaria Municipal da Educação.",,,LEI Nº 16.271 DE 17 DE SETEMBRO DE 2015,https://educacao.sme.prefeitura.sp.gov.br/plano-municipal-de-educacao-2015-2025/,plano_municipal_de_educacao
Plano Municipal de Educação Ambiental,,True,Educação,,Em elaboração,,,,"O Plano Municipal de Educação Ambiental (PMEA-SP) está em gestação. É um compromisso paulistano com o futuro, baseado nos Objetivos de Desenvolvimento Sustentável da Agenda 2030, e outros planos municipais como o PlanClima, PME e PMPI. Como prevenir e combater algumas dificuldades que se colocam para o presente e o futuro - o aquecimento global, o consumismo, a cultura do desperdício e outras formas de injustiça? O que fazer para preservar todas as formas de vida, a cultura e os saberes, a água, a terra, o ar, a possibilidade do bem-viver? A resposta do PMEA, é: educação. Educação em toda a cidade e sob qualquer forma, para a cidadania crítica, a sustentabilidade socioeconômica e a cultura de paz.",,,,,plano_municipal_de_educacao_ambiental
Plano Municipal de Educação em Direitos Humanos,PMEDH,True,Educação,Fernando Haddad,Elaborado,SMDHC,12/6/2016,,"O Plano Municipal de Educação em Direitos Humanos (PMEDH) é uma extensão do Plano Nacional de Educação em Direitos Humanos (PNEDH) e uma estratégia para fortalecer o artigo 2º do Plano Municipal de Educação (PME). Resultado de um processo de construção e consolidação de políticas públicas municipais entre 2013 e 2016, o PMEDH é elaborado pela Coordenação de Educação em Direitos Humanos da SMDHC. O plano representa uma síntese de esforços institucionais e intersecretariais, institucionalizando e consolidando ações e políticas públicas municipais de educação em direitos humanos. Estruturado em eixos, abrange diversas dimensões dos direitos humanos na cidade de São Paulo, tornando-se um compromisso da Administração Pública Municipal tanto para cidadãos quanto para servidores. Além de ser um documento jurídico, o PMEDH reflete o compromisso do Estado com os direitos humanos em suas atribuições constitucionais e legais. Refletindo a diversidade e os desafios da cidade, convoca servidores e cidadãos a contribuir para fortalecer a democracia e a cultura de respeito aos direitos humanos. O trabalho para construir uma cultura de direitos humanos requer ações intersecretariais e colaboração entre sociedade civil, governo e movimentos sociais, rumo a uma sociedade mais livre, justa, igualitária e solidária.",,,DECRETO Nº 57.503 DE 6 DE DEZEMBRO DE 2016,https://www.prefeitura.sp.gov.br/cidade/secretarias/direitos_humanos/edh/programas_e_projetos/index.php?p=270070,plano_municipal_de_educacao_em_direitos_humanos
Plano Municipal de Enfrentamento a Violência  Sexual contra Crianças e Adolescentes,PMEVSCA,True,Segurança Pública,Ricardo Nunes,Elaborado,SMADS ,1/1/2023,12/31/2033,"O plano tem como objetivo traçar metas e estratégias que, transformadas em ações, promoverão politicas publicas efetivas para prevenção da violência sexual contra crianças e adolescentes, além de qualificar o atendimento de forma integrada no Município, de forma a não revitimizar as crianças e adolescentes e contribuir para a defesa dos direitos e responsabilização dos casos no Município. É um instrumento técnico-político, que visa contribuir para assegurar os direitos e a proteção das crianças e adolescentes contra qualquer tipo de violência sexual, e tem dupla função: ser um guia para a atuação do poder público, da sociedade e das famílias, corresponsáveis em assegurar a efetivação dos direitos de crianças e adolescentes e ser uma ferramenta de acompanhamento e controle dessa atuação, uma vez que dispõe sobre as metas e estratégias necessárias para o cumprimento de seus eixos estratégicos.","A cidade de São Paulo busca, por meio deste Plano Municipal de Enfrentamento a Violência Sexual contra Crianças e Adolescentes - PMEVSCA, traçar metas e estratégias que, transformadas em ações, promoverão políticas públicas efetivas para prevenção da violência sexual contra crianças e adolescentes, além de qualificar o atendimento de forma integrada no Município, de forma a não revitimizar as crianças e adolescentes e contribuir para a defesa dos direitos e responsabilização dos casos no Município.",12,,https://www.prefeitura.sp.gov.br/cidade/secretarias/assistencia_social/participacao_social/index.php?p=284646,plano_municipal_de_enfrentamento_a_violencia__sexual_contra_criancas_e_adolescentes
Plano Municipal de Enfrentamento à Violência Abuso e Exploração Sexual contra Crianças e Adolescentes da Cidade de São Paulo,,True,Segurança Pública,Gilberto Kassab,Encerrado,SMADS,5/17/2007,,"O Plano Municipal de Enfrentamento à Violência, Abuso e Exploração Sexual contra Crianças e Adolescentes da Cidade de São Paulo é um marco na política de Assistência Social do município, pois, até então, na maior metrópole da América Latina, notória por ser um centro de turismo de negócios e de oportunidades, não havia uma estratégia para prevenir e combater, de forma integrada e intersetorial, a violência, o abuso e a exploração sexual contra crianças e adolescentes. O Plano, no entanto, não surgiu do dia para a noite. Sua discussão antecede a constituição da Comissão Municipal de Enfrentamento à Violência, Abuso e Exploração Sexual contra Crianças e Adolescentes, instituída pela Prefeitura de São Paulo, sancionada pelo Decreto nº 48.358 em 17 de maio de 2007, sob coordenação da Secretaria Municipal de Assistência e Desenvolvimento Social (SMADS). Em 2004, a Prefeitura de São Paulo, por meio de sua pasta da Assistência Social, promoveu seminários nas cinco macro-regiões, com palestrantes especializados nos diversos temas dos eixos que norteavam os Planos Estadual e Nacional. Naquela época, o Plano Municipal, apesar de finalizado, não foi lançado. Em 2005 a SMADS retomou as discussões, passando a revisá-lo com as coordenadoras do Serviço de Proteção Social às Crianças e Adolescentes Vítimas de Violência, Abuso e Exploração Sexual e suas Famílias (ex-Programa Sentinela), o Movimento Pacto São Paulo e o Ministério Público do Trabalho - 2ª Região. No ano seguinte, a SMADS iniciou a construção do Decreto para a constituição da Comissão Municipal, tendo como uma das atribuições a construção do Plano Municipal. Já constituída, a Comissão passa a discutir e formatar o Plano Municipal de Enfrentamento por meio de seus membros, que são representantes das diversas Secretarias Municipais, Conselhos e da sociedade civil ligada ao enfrentamento à violência contra crianças e adolescentes. ",,,"DECRETO Nº 48.358, DE 17 DE MAIO DE 2007",,plano_municipal_de_enfrentamento_a_violencia_abuso_e_exploracao_sexual_contra_criancas_e_adolescentes_da_cidade_de_sao_paulo
Plano Municipal de Erradicação do Trabalho Infantil e Proteção ao Jovem Trabalhador,PETI,True,Trabalho,,Elaborado,SMADS,10/31/2016,,"O Município de São Paulo enfrenta desafios na resposta à demanda relacionada ao trabalho infantil, evidenciando fragmentação de iniciativas e deficiência na capacitação dos profissionais. O Plano Municipal de Prevenção e Erradicação do Trabalho Infantil e Proteção ao Adolescente Trabalhador foca em cinco áreas de ação: 1. Superar o subregistro do trabalho infantil, 2. Tornar visíveis as condições de trabalho desprotegido dos adolescentes, 3. Coordenar iniciativas governamentais, 4. Estabelecer interação entre órgãos públicos, e 5. Capacitar profissionais para lidar com o problema. O plano busca uma intervenção articulada e intersetorial para prevenir e erradicar o trabalho infantil na cidade.",Este documento apresenta a proposta elaborada pela Comissão Municipal de Prevenção e Erradicação do Trabalho Infantil de São Paulo para o “Plano Municipal de erradicação do Trabalho Infantil e Proteção ao Jovem Trabalhador de São Paulo”.,6,RESOLUÇÃO COMAS – SP Nº1144/2016,https://www.prefeitura.sp.gov.br/cidade/secretarias/assistencia_social/comas/legislacao/resolucoes/index.php?p=396,plano_municipal_de_erradicacao_do_trabalho_infantil_e_protecao_ao_jovem_trabalhador
Plano Municipal de Esportes e Lazer,PMELSP,True,Esporte e Lazer,,Elaborado,SEME,6/18/2018,12/31/2025,"Este Plano Municipal é um componente estratégico para estruturar políticas públicas que promovam a cultura esportiva e de lazer na cidade de São Paulo, consolidando-se como direitos sociais. Valoriza a acessibilidade, intergeracionalidade, multidisciplinaridade, intersetorialidade e descentralização, visando democratizar o acesso à prática esportiva e fomentar condições para o lazer. Assim, o esporte, a atividade física e as práticas de lazer devem ser fortalecidos para que, ao serem incorporados à vida cotidiana dos cidadãos em diferentes etapas da vida, atuem como elementos de integração social, desenvolvimento humano e promoção da saúde. Sobretudo, busca capacitar o cidadão para o exercício da cidadania esportiva e de lazer.","O Plano Municipal de Esportes e Lazer de São Paulo 2018-2025 estabelece as diretrizes para estruturar, de modo geral, a política de Esportes e Lazer por meio de objetivos estratégicos e ações que contemplem os conceitos da prática esportiva, práticas corporais, físicas, recreativas e de lazer, além de ações de governança e gestão pública",6, DECRETO Nº 58.277 DE 18 DE JUNHO DE 2018,https://www.prefeitura.sp.gov.br/cidade/secretarias/esportes/acesso_a_informacao/index.php?p=178740,plano_municipal_de_esportes_e_lazer
Plano Municipal de Estratégias e Ações Locais pela Biodiversidade da Cidade de São Paulo,,True,Gestão Ambiental,Gilberto Kassab,Elaborado,SVMA,7/1/2011,,"A Secretaria do Verde e do Meio Ambiente (SVMA) defende novos paradigmas de sustentabilidade, mas reconhece a necessidade de outras áreas da administração pública municipal incorporarem esses conceitos. Por isso, foi formulado o Plano Municipal de Estratégias e Ações Locais pela Biodiversidade pelo Grupo de Trabalho sobre Biodiversidade (GTB), instituído pela Portaria nº 057/SVMA-G/2009. Este plano estabelece metas e responsáveis para cada ação, contando com a participação de parceiros de outras secretarias municipais, órgãos de governo e universidades. A implementação do plano é promovida pela Portaria nº 91/SVMA-G/2011, e o documento completo está disponível no livro ""Ações pela Biodiversidade da Cidade de São Paulo"", publicado em julho de 2011.",,, Portaria nº 057/SVMA-G/2009,https://www.prefeitura.sp.gov.br/cidade/secretarias/meio_ambiente/publicacoes_svma/index.php?p=3351%23P,plano_municipal_de_estrategias_e_acoes_locais_pela_biodiversidade_da_cidade_de_sao_paulo
Plano Municipal de Habitação,PMH,True,Habitação,,Elaborado,SEHAB,12/31/2015,12/31/2031,"O Plano Municipal de Habitação tem como objetivo servir como um guia para coordenar a política habitacional e monitorar seus resultados. A partir de um diagnóstico das necessidades habitacionais atuais e suas projeções futuras, o plano identifica os instrumentos, recursos e órgãos envolvidos no atendimento dessas demandas, além de propor programas alinhados com as diretrizes da política habitacional estabelecidas pelo Plano Diretor Estratégico. O plano estabelece metas e prioridades de atendimento até 2012 e apresenta o Plano de Ação da Secretaria de Habitação e Desenvolvimento Urbano da gestão municipal atual.",,,,https://www.prefeitura.sp.gov.br/cidade/secretarias/upload/arquivos/secretarias/planejamento/plano_diretor/Plano_Municipal_Habitacao.pdf,plano_municipal_de_habitacao
Plano Municipal de Mobilidade Urbana,PlanMob,True,Transporte,,Elaborado,SMT,2/24/2016,12/31/2031,"O PlanMob/SP 2015 é um instrumento de planejamento e gestão da Política Municipal de Mobilidade Urbana de São Paulo (PMMU), com o objetivo de guiar as ações do município em relação aos modos, serviços e infraestrutura de transporte, visando atender às necessidades presentes e futuras de mobilidade na cidade pelos próximos 15 anos. Ele colabora na definição de conceitos sobre mobilidade e acessibilidade urbanas, oferece um diagnóstico da situação atual da mobilidade urbana em São Paulo e faz projeções para o futuro, identificando ações e infraestruturas necessárias. Além disso, o plano estabelece os princípios, objetivos e diretrizes para uma nova política de transporte e circulação, enfatizando o transporte coletivo e ativo.",,,"DECRETO Nº 56.834, DE 24 DE FEVEREIRO DE 2016",https://www.prefeitura.sp.gov.br/cidade/secretarias/mobilidade/planmob/index.php?p=189299,plano_municipal_de_mobilidade_urbana
Plano Municipal de Políticas para Imigrantes,,True,Direitos da Cidadania,Bruno Covas,Elaborado,SMDHC,12/8/2020,12/31/2024,"A 2ª Conferência Municipal de Políticas para Imigrantes, realizada em novembro de 2019, é fruto de um consolidado processo de construção de políticas públicas entre a Secretaria Municipal de Direitos Humanos (SMDHC) e a sociedade civil. Organizado pelo Conselho Municipal de Imigrantes (CMI), pela Comissão Organizadora (COM) e pela SMDHC, o evento reuniu mais de 800 pessoas e teve, como um de seus resultados, 78 propostas finais aprovadas. Um dos cinco objetivos definidos para a 2ª Conferência Municipal de Políticas para Imigrantes foi “propor bases para a criação de um Plano Municipal”. Sob este marco, o Plano tem como objetivo servir de instrumento de planejamento e implementação de ações concretas, intersetoriais, transversais e transparentes para a Prefeitura de São Paulo, durante o período de 2021-2024, conforme os princípios e diretrizes da Política Municipal para a População Imigrante. A matriz do Plano é composta por 8 Eixos, com objetivos estratégicos e 80 ações prioritárias, compostas por indicadores (incluindo Linha de Base), metas e atores responsáveis, bem como referências legais da Política Municipal para Imigrantes e da 2ª Conferência de Políticas para Imigrantes. Além disso, o documento conta com uma seção específica sobre o processo de monitoramento e avaliação.",,,DECRETO Nº 59.965 DE 7 DE DEZEMBRO DE 2020,https://www.prefeitura.sp.gov.br/cidade/secretarias/direitos_humanos/imigrantes_e_trabalho_decente/plano_municipal/,plano_municipal_de_politicas_para_imigrantes
Plano Municipal de Políticas para Mulheres,PMPM,True,Direitos da Cidadania,,Encerrado,SMDHC,1/1/2017,12/31/2020,"O Plano Municipal de Políticas para as Mulheres (PMPM) 2017-2020 é um instrumento de planejamento que guiará as políticas públicas para as mulheres em São Paulo nos próximos quatro anos. Ele envolve a articulação entre diferentes secretarias da Prefeitura para abordar as demandas das mulheres em diversas áreas, como saúde, trabalho, educação e segurança. Além de fornecer serviços específicos, o plano busca promover mudanças comportamentais e combater a discriminação de gênero, incorporando o respeito à diversidade. O PMPM vai além dos serviços municipais, pertencendo a todas as mulheres da cidade, e incentiva a participação da sociedade civil na sua implementação.",,,Ato motivador/relacionado: LEI º 15.764/2013,https://www.prefeitura.sp.gov.br/cidade/secretarias/upload/politicas_para_as_mulheres/arquivos/1_Plano_SMPM-pdf.pdf,plano_municipal_de_politicas_para_mulheres
Plano Municipal de Políticas para População em Situação de Rua,PopRua,True,Assistencia Social,,Elaborado,SMDHC,12/26/2016,,"O Plano Municipal de Políticas para a População em Situação de Rua, estabelecido pela Portaria Intersecretarial SMDHC/SMADS/SMS/SEHAB/SDTE nº 005 em dezembro de 2016, é um instrumento de planejamento que visa garantir direitos à população em situação de rua em São Paulo, através da integração de políticas, participação social e controle. Construído pelo Comitê Intersetorial da Política Municipal para a População em Situação de Rua, o plano incorporou contribuições da sociedade civil, pesquisas sociais, seminários e censo, entre outros, com o objetivo de abordar as necessidades dessa população de forma abrangente e inclusiva.",,,"Portaria Intersecretarial SMDHC/SMADS/SMS/SEHAB/SDTE nº 005, de 26 de dezembro de 2016",https://www.prefeitura.sp.gov.br/cidade/secretarias/direitos_humanos/poprua/index.php?p=227858,plano_municipal_de_politicas_para_populacao_em_situacao_de_rua
Plano Municipal de Promoção da Igualdade Racial,PLAMPIR ,True,Direitos da Cidadania,,Elaborado,SMDHC,11/23/2018,,"O Plano Municipal de Promoção da Igualdade Racial (PLAMPIR), estabelecido pelo Decreto nº 58 em novembro de 2018, tem como principal objetivo reduzir as disparidades étnico raciais na cidade de São Paulo, com foco na população negra e nos povos indígenas. O Conselho Municipal de Promoção da Igualdade Racial é responsável por avaliar e monitorar a implementação do PLAMPIR, enquanto a Secretaria Municipal de Direitos Humanos e Cidadania, por meio da Coordenação de Promoção da Igualdade Racial, coordena as ações e a articulação institucional necessárias para sua execução.",,," Decreto nº 58, de 23 de novembro de 2018",https://www.prefeitura.sp.gov.br/cidade/secretarias/direitos_humanos/igualdade_racial/index.php?p=316242,plano_municipal_de_promocao_da_igualdade_racial
Plano Municipal de Redução de Riscos e Desastres,,True,,,Em elaboração,,,,,,,PORTARIA SECRETARIA DE GOVERNO MUNICIPAL - SGM Nº 481 DE 8 DE DEZEMBRO DE 2021,,plano_municipal_de_reducao_de_riscos_e_desastres
Plano Municipal de Saneamento Básico,,True,Saneamento,,Elaborado,SPUrbanismo,1/1/2019,12/31/2039,"A Lei 14.934 de 18/06/2009 autoriza o Poder Executivo Municipal de São Paulo a celebrar contratos e convênios com o Estado e empresas vinculadas para oferecer serviços de abastecimento de água e esgotamento sanitário. O artigo 13 dessa lei exige a apresentação do Plano Municipal de Saneamento Básico. A versão inicial desse plano não visa detalhar todas as ações, mas sim estabelecer diretrizes e estratégias para sua elaboração. Dada a natureza integradora do plano, é necessário considerar as políticas, programas e ações específicas já definidas por outros órgãos públicos.",,,"LEI Nº 14.934, DE 18 DE JUNHO DE 2009",https://www.prefeitura.sp.gov.br/cidade/secretarias/habitacao/fmsai/plano_de_saneamento/index.php?p=145815,plano_municipal_de_saneamento_basico
Plano Municipal de Saúde,PMS,True,Saúde,Ricardo Nunes,Elaborado,SMS,2/1/2022,12/31/2025,"O Plano Municipal de Saúde (PMS) é o principal instrumento de planejamento para definir e implementar as iniciativas de saúde ao longo de um período de quatro anos. Ele apresenta os compromissos do governo na área da saúde, com base em uma análise das necessidades de saúde da população e das particularidades locais. O PMS estabelece diretrizes, objetivos e metas de médio prazo, orientando as ações a serem realizadas nas Programações Anuais de Saúde. O plano é elaborado no primeiro ano de cada gestão e executado a partir do segundo ano até o primeiro ano da gestão seguinte, em alinhamento com outros instrumentos de planejamento governamental, como o Plano Plurianual (PPA) e o Programa de Metas.",Plano Municipal é instrumento central de planejamento para definição e implementação das prioridades da gestão municipal no âmbito de saúde para o período de quatro anos. Ele explicita os compromissos do governo para o setor a partir da análise da situação da saúde no município e das necessidades da população.,17,,https://www.prefeitura.sp.gov.br/cidade/secretarias/saude/acesso_a_informacao/?p=284332,plano_municipal_de_saude
Plano Municipal de Segurança Alimentar e Nutricional,PLAMSAN,True,Saúde,Fernando Haddad,Encerrado,SMDHC,1/1/2016,12/31/2020,"O plano de metas da PLAMSAN visa promover o desenvolvimento agrícola regional, garantindo o direito à alimentação adequada, combatendo a fome e a exclusão social, e estimulando hábitos alimentares saudáveis e a geração de renda ligada à alimentação saudável. A Fundação Paulistana de Educação, Tecnologia e Cultura, em parceria com a Secretaria do Desenvolvimento, Trabalho e Empreendedorismo, implementará ações como ampliar o projeto ""Hortas e Viveiros da Comunidade"", realizar eventos na Escola Técnica de Saúde Pública Prof. Makiguti para promover a cultura de alimentação saudável, oferecer cursos de formação agroecológica em subprefeituras e implantar cantinas saudáveis em instituições educacionais.",,,,https://www.prefeitura.sp.gov.br/cidade/secretarias/desenvolvimento/seguranca_alimentar/index.php?p=163328,plano_municipal_de_seguranca_alimentar_e_nutricional
Plano Municipal de Turismo,PLATUM ,True,Trabalho,Bruno Covas,Elaborado,SMTUR,12/31/2018,12/31/2029,"Com a criação da Secretaria Municipal de Turismo e o processo de formulação do novo Plano de Turismo Municipal, a gestão pública no turismo foi repensada. O papel do Plano Municipal de Turismo (Platum) foi reforçado na promoção do desenvolvimento econômico, social e cultural, alinhado ao compromisso da Prefeitura de São Paulo com os Objetivos do Desenvolvimento Sustentável da ONU. Houve uma crescente demanda por ações específicas voltadas para os munícipes, incluindo campanhas de valorização da oferta turística da cidade e a inclusão social e produtiva em projetos de turismo. A missão da Política Municipal de Turismo é posicionar a promoção, apoio e execução de projetos turísticos como estratégia de desenvolvimento sustentável da cidade e seus habitantes.","O presente Plano apresenta a consolidação da política pública de turismo de São Paulo para 2019–2021, indicando também perspectivas de mais longo prazo – 2030, com metas e programas a serem desenvolvidos pela Secretaria Municipal de Turismo, visando à consolidação do turismo como importante atividade e, com a participação direta e indireta da sociedade civil, inciativa privada e de outros entes públicos.",12,LEI MUNICIPAL Nº 11.198 DE MAIO DE 1992,https://www.prefeitura.sp.gov.br/cidade/secretarias/turismo/noticias/index.php?p=300422,plano_municipal_de_turismo
"Plano Municipal do Livro, Leitura, Literatura e Biblioteca",PMLLLB ,True,Cultura,,Elaborado,SME e SMC,1/1/2016,12/31/2026,"O PMLLLB estabelece políticas públicas para o livro, leitura, literatura e bibliotecas, garantindo recursos e acesso, promovendo integração entre escolas, bibliotecas e outros espaços literários. Visa ainda apoiar a criação literária, promover debates, formar mediadores e estimular a economia do livro. Também busca garantir políticas e equipamentos em todas as regiões, além de promover literatura não hegemônica, como a marginal, de mulheres, negros e LGBTs.", ,,"Karine Stephanie Alves: ksalves@prefeitura.sp.gov.br, Fernanda Pardini: fernandapcosta@prefeitura.sp.gov.br, Milene Freire: mtfreire@sme.prefeitura.sp.gov.br, José Lima: jose.lima@sme.prefeitura.sp.gov.br","Possui ações de CP (1 ano), MP (4 anos) e LP (10 anos). Mantido no V6.","plano_municipal_do_livro,_leitura,_literatura_e_biblioteca"
Plano Municipal para Erradicação do Trabalho Escravo,PMETE,True,Direitos da Cidadania; Assistencia Social,,Encerrado,SMDHC,1/1/2015,12/31/2017,"A COMTRAE/SP elaborou o I Plano Municipal para a Erradicação do Trabalho Escravo em seu primeiro ano de existência, visando estruturar a política pública municipal nesse sentido. O plano foi construído com intensa participação dos membros da COMTRAE/SP e inclui ações voltadas para enfrentar o trabalho escravo e o tráfico de pessoas, considerados fenômenos interdependentes. Com 58 ações e vigência de três anos (2015-2017), o plano será avaliado ao final desse período, com responsáveis, parceiros e prazos definidos para cada ação, além de monitoramento periódico pela COMTRAE.",,,"DECRETO Nº 56.110, DE 13 DE MAIO DE 2015",https://www.prefeitura.sp.gov.br/cidade/secretarias/direitos_humanos/noticias/index.php?p=195285,plano_municipal_para_erradicacao_do_trabalho_escravo
Plano Municipal pela Primeira Infância,PMPI,True,Direitos da Cidadania,Bruno Covas,Elaborado,SGM/SEPE,1/1/2017,12/31/2030,"O Plano Municipal pela Primeira Infância (PMPI) de São Paulo é um documento que estabelece diretrizes, metas e ações para crianças de 0 a 6 anos até 2030. Com um período de 12 anos, o plano orientará várias administrações municipais e envolve a responsabilidade compartilhada de diferentes partes, não apenas do poder público. É um plano para a cidade, não ligado a uma gestão específica.",,,DECRETO nº 58.514 DE 14 DE NOVEMBRO DE 2018,https://www.prefeitura.sp.gov.br/cidade/secretarias/governo/secretaria_executiva_de_projetos_estrategicos/primeira_infancia/index.php?p=352461,plano_municipal_pela_primeira_infancia
Plano Plurianual,PPA,True,Administração e Transparência,Bruno Covas,Elaborado,SF,1/1/2022,12/31/2025,"O principal instrumento de planejamento orçamentário de médio prazo do Governo Municipal é o Plano Plurianual (PPA). Ele define as diretrizes, os objetivos e as metas da administração pública federal, contemplando as despesas de capital (como, por exemplo, os investimentos) e outras delas decorrentes, além daquelas relativas aos programas de duração continuada. O PPA é estabelecido por lei, com vigência de quatro anos. Ele se inicia no segundo ano de mandato de um presidente e se prolonga até o final do primeiro ano do mandato de seu sucessor.","Com o objetivo de integrar o planejamento de médio prazo à execução das políticas públicas, o PPA estabelece os programas de governo e orienta as peças orçamentárias para um período de quatro anos, iniciado no segundo ano de uma gestão e findado no primeiro ano da gestão subsequente. Apresenta, portanto, desdobramentos vinculantes nas Leis de Diretrizes Orçamentárias (LDO) e nas Leis Orçamentárias Anuais (LOA).",8,LEI Nº 17.729 DE 28 DE DEZEMBRO DE 2021,https://orcamento.sf.prefeitura.sp.gov.br/orcamento/ppa.php,plano_plurianual
Programa de Metas,PdM,True,Administração e Transparência,Ricardo Nunes,Elaborado,SGM/SEPEP,4/1/2021,12/31/2024,"Trata-se de um plano elaborado pelo Prefeito do Município que contém as ações estratégicas, os indicadores e as metas quantitativas para cada um dos setores da Administração Pública Municipal, Subprefeituras e Distritos da cidade, observando, no mínimo, as diretrizes de sua campanha eleitoral e os objetivos, as diretrizes, as ações estratégicas e as demais normas da lei do Plano Diretor Estratégico. ",,,"Emenda nº 30, de 26 de fevereiro de 2008 à Lei Orgânica do Município ","https://programademetas.prefeitura.sp.gov.br/%23:~:text=Prefeitura%20de%20S%C3%A3o%20Paulo%20SOBRE%20O%20PROGRAMA%20DE,de%20mandato%20de%20cada%20Prefeito%20%28a%29%20eleito%20%28a%29.",programa_de_metas
Plano Municipal de Contingência de Proteção e Defesa Civil,PLANCON,,,,,,,,,,,,,
Plano de Desenvolvimento Urbano Integrado,PDUI,,,,,,,,,,,,,
Plano Municipal da Juventude (Projeto de Lei em Tramitação),,,,,Em elaboração,,,,,,,,,
